CBSA	name	State	geometry
10100	Aberdeen	SD	{"type": "Polygon", "coordinates": [[[-98.77412411993785, 45.94367140695133], [-98.77339362565733, 45.94852952283424], [-98.77218990163529, 45.95329250092618], [-98.77052456858097, 45.95791435960466], [-98.76841370356095, 45.96235047960899], [-98.76587768479169, 45.96655803479313], [-98.76294099490893, 45.970496405567715], [-98.75963198461322, 45.9741275710402], [-98.75598259897328, 45.977416476067184], [-98.75202806902932, 45.980331369675525], [-98.74780657167398, 45.98284411158515], [-98.74335886109381, 45.98493044387428], [-98.73872787532989, 45.98657022516459], [-98.73395832175547, 45.987747625065325], [-98.7290962454725, 45.98845127699938], [-98.72418858479396, 45.98867438793579], [-98.00794184244127, 45.986012379884336], [-97.97864372713417, 45.985933812317235], [-97.97374458530186, 45.985680013577095], [-97.96889389530921, 45.984947339646375], [-97.96413835184707, 45.98374284353873], [-97.95952373368758, 45.98207812021764], [-97.95509446299928, 45.97996919497869], [-97.95089317772151, 45.977436369183586], [-97.9469603211144, 45.97450402483111], [-97.94333375243586, 45.97120038984622], [-97.94004838249313, 45.96755726634666], [-97.93713583757736, 45.96360972450304], [-97.93462415501612, 45.959395764939245], [-97.93253751327497, 45.95495595292322], [-97.9308959992057, 45.95033302786931], [-97.92971541468229, 45.94557149191159], [-97.92900712448574, 45.94071718150834], [-97.92877794690206, 45.935816826201965], [-97.92959213727866, 45.588365834103264], [-97.9295927177284, 45.5882150964253], [-97.9314577177284, 45.240147096425304], [-97.93172446160573, 45.23525025171371], [-97.93246963728517, 45.23040309237732], [-97.93368607610506, 45.22565224855511], [-97.93536207580696, 45.221043423821534], [-97.93748151311257, 45.21662095551377], [-97.94002399883115, 45.21242738820224], [-97.94296507400561, 45.20850306440778], [-97.9462764452099, 45.20488573650269], [-97.94992625673461, 45.201610203529306], [-97.95387939704185, 45.19870797642984], [-97.95809783654168, 45.19620697490809], [-97.96254099344044, 45.194131258839214], [-97.96716612414146, 45.19250079681143], [-97.9719287344426, 45.19133127402623], [-97.97678300757472, 45.1906339414053], [-97.9816822449635, 45.19041550735551], [-98.71798424496349, 45.19373250735551], [-98.71809783169446, 45.19373314808235], [-98.72269742892934, 45.19376431858458], [-99.5734240235677, 45.195364088404396], [-99.57351502420181, 45.195364342340724], [-99.7091720242018, 45.19586634234072], [-99.71407192076465, 45.19612523622604], [-99.7189228474814, 45.19686315380893], [-99.7236780879634, 45.19807298864424], [-99.72829184731918, 45.19974308953261], [-99.73271969317783, 45.20185737272617], [-99.73691898359066, 45.20439547682159], [-99.7408492776905, 45.207332958848625], [-99.7444727251536, 45.210641529665835], [-99.74775443071361, 45.21428932639645], [-99.75066279021704, 45.218241219280785], [-99.75316979498415, 45.222459149990044], [-99.75525130154381, 45.22690249814346], [-99.75688726414496, 45.231528472498994], [-99.75806192780527, 45.23629252305032], [-99.75876398003803, 45.24114877006143], [-99.75898665979591, 45.24605044590708], [-99.75770465979592, 45.59357544590708], [-99.75744629924833, 45.598470680018345], [-99.75670982399578, 45.60331708810879], [-99.75550231305819, 45.6080680863736], [-99.75383537306314, 45.61267800808981], [-99.75172502668265, 45.61710254256601], [-99.74919155862284, 45.62129916105791], [-99.74625932064677, 45.62522752555582], [-99.74295649750466, 45.628849876514614], [-99.73931483602132, 45.63213139579955], [-99.73536933994475, 45.635040541359075], [-99.73115793348929, 45.6375493504079], [-99.72672109680691, 45.63963370820605], [-99.72210147689107, 45.64127357985035], [-99.71734347765249, 45.64245320285048], [-99.71249283310775, 45.64316123863849], [-99.7075961677825, 45.64339088155534], [-98.7749115648808, 45.641360754074704], [-98.77437433231084, 45.93876505335686], [-98.77412411993785, 45.94367140695133]]]}
10140	Aberdeen	WA	{"type": "Polygon", "coordinates": [[[-124.40084807125092, 47.51713280446809], [-124.40220518686569, 47.52174475771073], [-124.40311310454281, 47.526465728055435], [-124.40356343081015, 47.53125207131068], [-124.40355200251389, 47.53605953892868], [-124.40307892530573, 47.54084368707221], [-124.40214857266633, 47.54556028748675], [-124.40076954547341, 47.55016573637967], [-124.3989545924889, 47.55461745752638], [-124.39672049249977, 47.558874295876926], [-124.39408789920235, 47.5628968980241], [-124.39108115026404, 47.56664807601589], [-124.38772804232771, 47.5700931511488], [-124.38405957403863, 47.5732002745638], [-124.38010965946974, 47.57594072168108], [-124.37591481459457, 47.57828915775159], [-124.3715138197061, 47.580223872070505], [-124.36694736090273, 47.58172697868722], [-124.3622576539554, 47.58278458175655], [-124.35748805403335, 47.5833869040023], [-124.35268265489644, 47.58352837710577], [-123.50498398400944, 47.567707294053676], [-123.4999543528364, 47.56735919529203], [-123.49498534595415, 47.56650635703725], [-123.49012748496993, 47.56515745039009], [-123.48543016143232, 47.56332619014981], [-123.48094113465025, 47.561031195371044], [-123.47670604610772, 47.55829580005746], [-123.472767955411, 47.555147815916904], [-123.46916690248685, 47.55161924959018], [-123.46593950048266, 47.54774597722846], [-123.46311856350806, 47.543567379728096], [-123.46073277300248, 47.539125942331474], [-123.45880638612105, 47.53446682266486], [-123.45735898910382, 47.52963739160529], [-123.45640529813558, 47.52468675164446], [-123.45595500972142, 47.51966523764679], [-123.44087151641382, 47.13305186228794], [-123.20231129227271, 47.13505723351285], [-123.19752177106409, 47.13486773255269], [-123.19277240381044, 47.13422048089238], [-123.18810683800237, 47.13312142688445], [-123.18356795098099, 47.13158067102165], [-123.17919745588782, 47.12961237311168], [-123.17503551831406, 47.12723462214617], [-123.17112038717194, 47.124469270059784], [-123.16748804318065, 47.121341730907226], [-123.16417186819758, 47.117880747303765], [-123.16120233843328, 47.11411812627573], [-123.15860674436992, 47.11008844694854], [-123.15640893995719, 47.105828742758675], [-123.1546291233904, 47.101378161110134], [-123.15328365148568, 47.096777603603115], [-123.15238488935803, 47.09206935014141], [-123.11108188935803, 46.800393350141405], [-123.11062869071009, 46.79539978339811], [-123.11067790481519, 46.79038593499532], [-123.11122903675466, 46.78540222639434], [-123.11227654410372, 46.780498775957355], [-123.11380989266846, 46.775724894935244], [-123.11581366242235, 46.77112859157194], [-123.11826770257687, 46.766756088312434], [-123.12114733422654, 46.76265135696964], [-123.12442359853094, 46.75885567652446], [-123.12806354793753, 46.75540721800627], [-123.13203057751663, 46.75234066062824], [-123.13628479307677, 46.74968684303801], [-123.14078341235808, 46.74747245319065], [-123.14548119526957, 46.745719759962874], [-123.15033089884335, 46.74444638920745], [-123.15528375233059, 46.74366514649986], [-123.16028994766167, 46.74338388835985], [-123.37065194766166, 46.742129888359855], [-123.37108473871166, 46.742129181545536], [-124.09693140661668, 46.744085181545536], [-124.10166914370092, 46.74432297653212], [-124.10636302324241, 46.74500868345568], [-124.11097079525751, 46.74613613021358], [-124.11545098482328, 46.74769516856775], [-124.11976326539659, 46.74967176548978], [-124.12386882179648, 46.75204812947333], [-124.1277306995828, 46.75480287067689], [-124.13131413768596, 46.75791119345547], [-124.13458688129417, 46.76134511954815], [-124.13751947218152, 46.76507373991264], [-124.14008551386385, 46.769063492940035], [-124.14226190919557, 46.77327846654554], [-124.14402906826894, 46.777680721416], [-124.40084807125092, 47.51713280446809]]]}
10180	Abilene	TX	{"type": "Polygon", "coordinates": [[[-99.1093756183186, 32.56456860602561], [-99.10449044845656, 32.563840684714854], [-99.09970093092797, 32.56263433656487], [-99.09505380137362, 32.560961333002204], [-99.09059440602644, 32.55883799903101], [-99.08636625922747, 32.55628505393525], [-99.08241061881715, 32.55332740910198], [-99.07876608354537, 32.54999392493846], [-99.07546821642873, 32.54631712925518], [-99.07254919773007, 32.54233289986263], [-99.07003751094662, 32.53808011447921], [-99.0679576648709, 32.533600271366225], [-99.06632995443626, 32.528937084392], [-99.06517026268097, 32.5241360564762], [-99.06448990576305, 32.51924403557683], [-99.0642955225384, 32.514308757552485], [-99.06866752253839, 32.079082757552484], [-99.06895260248444, 32.07422985917498], [-99.06970760165878, 32.06942758164398], [-99.07092538323744, 32.06472131972344], [-99.07259443582672, 32.060155560565065], [-99.07469898227758, 32.05577346318206], [-99.07721912882322, 32.05161645047741], [-99.08013105312996, 32.047723817683305], [-99.08340722948411, 32.044132360912776], [-99.08701668898571, 32.04087602933501], [-99.09092531229012, 32.03798560426209], [-99.09509615212993, 32.03548840818071], [-99.09948978256836, 32.03340804647934], [-99.10406467168325, 32.03176418431224], [-99.10877757415815, 32.030572360709485], [-99.11358394006982, 32.02984384169035], [-99.1184383360078, 32.029585513768296], [-99.1956443360078, 32.02923551376829], [-99.19610507359754, 32.02923554790749], [-99.63164707359753, 32.03127454790749], [-99.63177704241403, 32.031281541095105], [-99.63190656833417, 32.031276436156354], [-99.71424912921624, 32.0320893093742], [-100.1519736797699, 32.032638039287555], [-100.15690825327763, 32.03288835216528], [-100.16179402826283, 32.033624473781664], [-100.16658329479614, 32.034839215858405], [-100.17122928535989, 32.03652071635543], [-100.17568663153615, 32.03865255530455], [-100.17991180703243, 32.04121391515154], [-100.18386355271888, 32.04417978404103], [-100.18750327952662, 32.04752120005897], [-100.19079544527264, 32.05120553404775], [-100.19370790173157, 32.055196808232125], [-100.19621220856546, 32.05945604754471], [-100.19828391104552, 32.06394166022015], [-100.19990277885432, 32.06860984394165], [-100.20105300363616, 32.073415013573545], [-100.20172335336682, 32.07831024630332], [-100.20190728203497, 32.08324773984611], [-100.19654138282826, 32.52323048301484], [-100.19422329660085, 32.960243215798386], [-100.19395854612473, 32.96512337868057], [-100.19321861025846, 32.96995438038676], [-100.19201055866971, 32.974690063434664], [-100.1903459336065, 32.979285181057776], [-100.18824063961748, 32.9836958295125], [-100.18571479159311, 32.987879867553566], [-100.18279252257915, 32.99179731906972], [-100.1795017531992, 32.99541075503281], [-100.17587392488893, 32.998685651110925], [-100.17194369949094, 33.0015907175288], [-100.16774862808059, 33.00409819802392], [-100.16332879218672, 33.00618413504181], [-100.15872642083538, 33.00782859863694], [-100.15398548707542, 33.009015876892015], [-100.14915128784094, 33.00973462603646], [-100.14427001116476, 33.009977978829724], [-99.98887301116477, 33.010120978829725], [-99.98840785575275, 33.010119243150136], [-99.61158185575276, 33.00696024315013], [-99.60670906255856, 33.00668116529987], [-99.60188669517353, 33.00592832350787], [-99.59716070496808, 33.004708891452374], [-99.59257612495382, 33.00303448885658], [-99.58817664067304, 33.000921070766566], [-99.584004173928, 32.9983887755189], [-99.58009848331636, 32.99546173284647], [-99.57649678537967, 32.992167833951115], [-99.57323339997428, 32.98853846573393], [-99.57033942324439, 32.98460821171582], [-99.5678424313131, 32.98041452249809], [-99.56576621751506, 32.97599735890311], [-99.56413056567465, 32.97139881119574], [-99.56295106158977, 32.966662698013636], [-99.56223894451799, 32.96183414882821], [-99.56200100007987, 32.95695917391501], [-99.56202317294353, 32.56466977488716], [-99.11430877150724, 32.564810997512595], [-99.1093756183186, 32.56456860602561]]]}
10220	Ada	OK	{"type": "Polygon", "coordinates": [[[-96.9824709892076, 34.85442214819404], [-96.98246364808615, 34.85531240150163], [-96.98057864808615, 34.96522140150163], [-96.98025841369464, 34.97007813315812], [-96.97946747571342, 34.974880716791795], [-96.97821332919496, 34.979583642366244], [-96.97650785862852, 34.98414234422046], [-96.97436722532093, 34.98851362338005], [-96.97181171424945, 34.9926560569175], [-96.96886554183816, 34.99653039048233], [-96.9655566264793, 35.00009991028148], [-96.96191632397426, 35.003330790985], [-96.95797913040101, 35.00619241626016], [-96.95378235522394, 35.00865766889664], [-96.9493657677434, 35.01070318777346], [-96.94477122023571, 35.01230958923264], [-96.94004225135426, 35.013461650761776], [-96.93522367355054, 35.01414845524498], [-96.93036114842424, 35.014363494415136], [-96.92550075402677, 35.01410473052732], [-96.92068854821841, 35.013374615668766], [-96.91597013221684, 35.01218006852247], [-96.91139021847277, 35.010532408804714], [-96.76659911929302, 34.95033154031259], [-96.4926497769191, 34.96055025128122], [-96.48776396670743, 34.96049358958915], [-96.48290701613038, 34.95996031380338], [-96.47812530780695, 34.958955516569425], [-96.47346450581217, 34.95748879344041], [-96.46896911959696, 34.95557415124205], [-96.46468207893443, 34.95322987431101], [-96.46064432395163, 34.95047834988434], [-96.45689441416202, 34.94734585430709], [-96.45346816023209, 34.94386230210003], [-96.45039828199874, 34.940060960283766], [-96.44771409600334, 34.9359781306873], [-96.36341109600333, 34.792983130687304], [-96.36104145491744, 34.7884482353163], [-96.35914768632377, 34.78369490854282], [-96.35774962212675, 34.778772928107784], [-96.35686190312026, 34.77373383792528], [-96.35649382566635, 34.76863040830494], [-96.35664924434205, 34.76351608333118], [-96.35732653157345, 34.758444421186674], [-96.35851859468002, 34.7534685332808], [-96.36021295015045, 34.74864052805693], [-96.46759495015046, 34.486439528056934], [-96.46968665161313, 34.48197375851483], [-96.47220809023051, 34.47773575663766], [-96.47513473914958, 34.47376674684722], [-96.47843812990502, 34.47010533699184], [-96.48208612934118, 34.46678714279532], [-96.48604325218182, 34.46384444141116], [-96.49027100620678, 34.461305857452246], [-96.49472826667848, 34.45919608454989], [-96.4993716763755, 34.457535645150884], [-96.5041560673424, 34.45634069088898], [-96.50903490025308, 34.4556228454727], [-96.51396071711402, 34.45538909161775], [-96.82738371711402, 34.455989091617745], [-96.83233268137234, 34.456244139060885], [-96.8372320921363, 34.45698782622238], [-96.84203382289297, 34.45821284792379], [-96.84669070663207, 34.4599071708767], [-96.85115699916388, 34.4620541518847], [-96.8553888284605, 34.46463270132818], [-96.85934462560739, 34.46761749032593], [-96.86298553313125, 34.47097919953867], [-96.86627578669398, 34.47468480717053], [-96.97131578669398, 34.605506807170535], [-96.97415198755775, 34.609411108307356], [-96.97659859625918, 34.61357064056096], [-96.9786328225377, 34.6179466577175], [-96.98023571749196, 34.622498396997415], [-96.9813923500896, 34.627183458762296], [-96.98209194625048, 34.63195820146933], [-96.98232798920759, 34.63677814819404], [-96.9824709892076, 34.85442214819404]]]}
10300	Adrian	MI	{"type": "Polygon", "coordinates": [[[-84.41329545850978, 42.073063384863], [-84.41308865762193, 42.07801569640004], [-84.41239254104597, 42.08292319860378], [-84.4112139497022, 42.08773766416203], [-84.4095644659171, 42.09241178005808], [-84.40746029960076, 42.09689961252825], [-84.40492212894783, 42.10115705846492], [-84.40197489722752, 42.105142278829454], [-84.39864756765948, 42.108816109815336], [-84.39497283878471, 42.112142447721205], [-84.39098682312834, 42.1150886037514], [-84.38672869231243, 42.11762562525736], [-84.38224029210612, 42.11972858026285], [-84.3775657311963, 42.12137680247709], [-84.37275094771995, 42.12255409438775], [-84.367843257818, 42.12324888643825], [-84.36289089064724, 42.123454350724735], [-84.13251760638445, 42.121583154095056], [-83.77543691273553, 42.13240704512478], [-83.77053008763178, 42.132314816632785], [-83.76565594080701, 42.1317419890637], [-83.760861430647, 42.13069408113883], [-83.75619274830397, 42.12918118858702], [-83.75169487268286, 42.12721788688059], [-83.74741113710668, 42.12482309081268], [-83.74338281183569, 42.12201987226886], [-83.73964870646239, 42.118835237948474], [-83.73624479601322, 42.11529986917739], [-83.73320387435876, 42.111447826318745], [-83.73055523827185, 42.107316220629365], [-83.7283244051773, 42.102944856723475], [-83.72653286731261, 42.09837584908802], [-83.72519788466798, 42.093653216344315], [-83.7243323187004, 42.08882245716492], [-83.72394450842437, 42.08393011193148], [-83.71317235978957, 41.72504691371708], [-83.71326628108206, 41.72013660885744], [-83.7138414773651, 41.715259205423244], [-83.71489239916446, 41.71046176043706], [-83.71640890722236, 41.705790559485045], [-83.71837637032061, 41.701290670155196], [-83.7207758064421, 41.69700550722682], [-83.72358406590871, 41.6929764138062], [-83.72677405472854, 41.6892422624497], [-83.73031499599789, 41.6858390801227], [-83.73417272683574, 41.682799700612584], [-83.73831002798612, 41.680153447749575], [-83.74268698290813, 41.67792585249135], [-83.74726136288947, 41.67613840660124], [-83.75198903446758, 41.67480835529643], [-83.75682438522776, 41.67394853086671], [-83.76172076387022, 41.67356722886894], [-83.8789613778583, 41.67021491740294], [-83.87901204991697, 41.67021349422223], [-84.35904062596097, 41.65697488653613], [-84.36400772467962, 41.65708483539866], [-84.36893938994758, 41.65768719419366], [-84.37378692816215, 41.65877601543316], [-84.37850247636277, 41.66034054846277], [-84.38303947481393, 41.662365345610006], [-84.38735312672016, 41.66483041470944], [-84.39140084053464, 41.667711416498605], [-84.39514265049375, 41.67097990493565], [-84.39854161122554, 41.67460360806601], [-84.40156416253592, 41.6785467466648], [-84.40418046077072, 41.68277038750888], [-84.40636467348189, 41.68723282779033], [-84.40809523448839, 41.691890006875994], [-84.40935505681338, 41.696695941347315], [-84.41013170139533, 41.70160317902513], [-84.41041749990707, 41.7065632674965], [-84.41329545850978, 42.073063384863]]]}
10380	Aguadilla-Isabela	PR	{"type": "Polygon", "coordinates": [[[-67.2889602048209, 18.369730353095218], [-67.28896807568492, 18.36997245881807], [-67.28899807712824, 18.370220461233398], [-67.28906020633853, 18.372806373675743], [-67.28912109968127, 18.374679437003774], [-67.28910941806618, 18.37485464079794], [-67.28911376356025, 18.37503550688597], [-67.2889086676461, 18.37786554596622], [-67.28879167934959, 18.379620165789603], [-67.28877372598235, 18.3797275537177], [-67.288765624452, 18.3798393435972], [-67.2881926266322, 18.38320339501459], [-67.28797517469073, 18.38450408213124], [-67.28796416066427, 18.384544711223235], [-67.28795689026258, 18.38458739551328], [-67.28669506541382, 18.38923560441972], [-67.28668606751634, 18.3892594051913], [-67.28667959375986, 18.38928328590819], [-67.28631885992438, 18.390230723661027], [-67.28499185865508, 18.393740838567226], [-67.28495021657243, 18.39382535287029], [-67.28491764326166, 18.393910903992253], [-67.28416013143952, 18.39542886283258], [-67.28286307441518, 18.39806129290061], [-67.28277727715313, 18.39819992966946], [-67.28270660392647, 18.3983415499664], [-67.28171749050374, 18.3999124015275], [-67.28032846614971, 18.402156876977095], [-67.28018801480532, 18.402341424562973], [-67.2800681610255, 18.402531769262374], [-67.27890255824333, 18.404030464324585], [-67.27741155304437, 18.405989586974307], [-67.2772071618296, 18.406210351223137], [-67.27702819168769, 18.406440465351256], [-67.27572203021697, 18.407814451307505], [-67.2741394017752, 18.409523858336073], [-67.27386318132056, 18.409769823851942], [-67.27361651110385, 18.410029302807022], [-67.27219972595975, 18.411251077861497], [-67.27054237535108, 18.412726895783724], [-67.27018799571898, 18.412985908181202], [-67.26986658010738, 18.41326308328994], [-67.26836646085836, 18.414317249117868], [-67.26665385136864, 18.415568977630706], [-67.26621668247036, 18.415827944294747], [-67.26581517699954, 18.41611009076233], [-67.2642573889757, 18.41698857512229], [-67.26250991229428, 18.418023731576582], [-67.19494796309047, 18.453766711978027], [-67.13914140135631, 18.53904644454832], [-67.1387184274718, 18.5396277171799], [-67.13833569790644, 18.540239802018586], [-67.1372544599075, 18.541639577272903], [-67.13622439671327, 18.543055143494648], [-67.13575081857422, 18.543586197657824], [-67.13531403211883, 18.544151663237365], [-67.13409473119052, 18.545443276832714], [-67.13292474314004, 18.546755261009867], [-67.13240630094528, 18.54723184223844], [-67.1319208792142, 18.54774605271165], [-67.13057435578884, 18.5489158692759], [-67.12927488096072, 18.55011041963531], [-67.12871765497013, 18.550528911672092], [-67.12818940132057, 18.55098784157835], [-67.12672784397526, 18.552023314428087], [-67.12531069355204, 18.553087633352636], [-67.12472103463436, 18.553445083196692], [-67.12415606710024, 18.5538453470279], [-67.1225929029844, 18.554735151579642], [-67.12107115455818, 18.55565763188366], [-67.12045561316667, 18.55595176740962], [-67.11986029533259, 18.55629064194821], [-67.11821006738529, 18.55702479807593], [-67.11659794472415, 18.557795148459167], [-67.11596319908156, 18.558024388548304], [-67.11534406966446, 18.55829982786332], [-67.11362230173823, 18.558869809894507], [-67.11193504211421, 18.559479168227448], [-67.11128782638714, 18.559642625430268], [-67.1106515282935, 18.55985326849913], [-67.10887457943143, 18.560252101653713], [-67.10712828974448, 18.56069313486042], [-67.106475322974, 18.56079061069131], [-67.10582853259469, 18.56093578169361], [-67.1040134418269, 18.561158123895996], [-67.10222494488045, 18.561425113326063], [-67.1015728614148, 18.561457086368595], [-67.10092221890557, 18.56153678777584], [-67.09908654203608, 18.56157899590845], [-67.09727321443023, 18.561667907226894], [-67.09662849657876, 18.561635514302484], [-67.09598053785113, 18.561650412963765], [-67.09414217779681, 18.561510592778774], [-67.09232178100164, 18.561419129550867], [-67.09169069459321, 18.56132414027497], [-67.09105178571049, 18.56127554677014], [-66.95006431171399, 18.543508059286243], [-66.94506698482752, 18.54261860556753], [-66.9401855871132, 18.541227073935588], [-66.93547042509203, 18.539347805183642], [-66.93097009209956, 18.537000166607374], [-66.92673096749459, 18.534208352410207], [-66.92279673868458, 18.53100113436361], [-66.91920795089361, 18.527411565292077], [-66.91600158931298, 18.5234766384386], [-66.91321069794066, 18.51923690622113], [-66.91086403903768, 18.514736062309034], [-66.90898579671122, 18.51002049132653], [-66.8777743417937, 18.418380461538995], [-66.87320024664962, 18.413019748648683], [-66.80776610542472, 18.3902120934567], [-66.80335452095733, 18.388434841686514], [-66.7991317603429, 18.38624646462558], [-66.79513603230416, 18.383666763323482], [-66.79140349130941, 18.38071907964133], [-66.78796791043669, 18.37743008504805], [-66.78551231590475, 18.374584909862726], [-66.77152617980133, 18.374991849137462], [-66.7710446334448, 18.375003538946704], [-66.6079616334448, 18.378176538946704], [-66.60330264847452, 18.378049922954684], [-66.59867569372985, 18.37749004586703], [-66.5941209722145, 18.376501772382436], [-66.58967805930719, 18.375093689479765], [-66.58538555889626, 18.373278031806933], [-66.58128076795559, 18.371070575375658], [-66.57739935247601, 18.36849050048575], [-66.53703035247601, 18.33885350048575], [-66.53322180396883, 18.33575868290464], [-66.52973498612994, 18.332305417935046], [-66.52660348808588, 18.328526971482873], [-66.52385747610546, 18.324459741984157], [-66.52152340300273, 18.320142909772574], [-66.51962375331243, 18.31561805964843], [-66.51817682669255, 18.310928780284975], [-66.51719656164047, 18.30612024433112], [-66.51669240122102, 18.301238773255378], [-66.51666920209978, 18.296331391123054], [-66.51712718775794, 18.29144537160521], [-66.51806194633947, 18.286627782583086], [-66.51946447315137, 18.28192503273499], [-66.52132125740735, 18.277382424473362], [-66.52361441237967, 18.273043717538716], [-66.60646141237967, 18.133351717538716], [-66.60906137645833, 18.129405589402058], [-66.61202227169655, 18.125722541768717], [-66.61531764931672, 18.122335474184254], [-66.61891807271171, 18.119274642294393], [-66.62279138039318, 18.116567387580496], [-66.62690297328034, 18.11423789312644], [-66.63121612376305, 18.112306967598467], [-66.63569230377846, 18.110791859367687], [-66.65671930377846, 18.104765859367685], [-66.66137106452965, 18.103670324166526], [-66.6661061690455, 18.103023902719443], [-66.67088135916228, 18.10283250049372], [-66.675653010509, 18.10309786606931], [-66.68037753104358, 18.103817575164445], [-66.68501175929363, 18.104985052782993], [-66.68951335866365, 18.106589633281185], [-66.69384120420655, 18.108616657804987], [-66.7803185695927, 18.154280680126288], [-66.78050507430765, 18.15370041300052], [-66.78237909553212, 18.149340267558312], [-66.7846580582501, 18.145177437660617], [-66.78732143099123, 18.141249426781204], [-66.79034521908552, 18.13759162287888], [-66.79370218083434, 18.1342369795828], [-66.79736207293449, 18.131215719308948], [-66.80129192294395, 18.12855506098248], [-66.80545632633495, 18.126278974818895], [-66.80981776545792, 18.124407966373262], [-66.81433694754287, 18.122958891803023], [-66.81897315869301, 18.12194480600868], [-66.82368463068157, 18.12137484502051], [-66.83311763068157, 18.120685845020514], [-66.83744858994528, 18.120557741785973], [-66.841774378279, 18.120805075314895], [-66.84606251140261, 18.12142598826914], [-66.85028078780586, 18.122415817935522], [-66.91148478780586, 18.13960681793552], [-66.91605222887281, 18.141130525808034], [-66.92045193270282, 18.143086493545272], [-66.92464309960403, 18.145456582907933], [-66.92858686370626, 18.148218815390333], [-66.93224665337507, 18.15134757603328], [-66.93558853035088, 18.154813850958806], [-66.938581504468, 18.158585496424], [-66.94119782103512, 18.162627536899], [-66.94341321821237, 18.166902489404915], [-66.94520715199826, 18.171370711104057], [-66.94656298673992, 18.175990766919103], [-66.94746814940021, 18.18071981377225], [-66.95215466679387, 18.213748843712597], [-67.02693592882741, 18.23469862840382], [-67.05103665697156, 18.21568854808153], [-67.05498163479177, 18.212875822153762], [-67.0591803260286, 18.210458123031746], [-67.06359330618531, 18.208458152211175], [-67.06817913865423, 18.20689468883979], [-67.07289476379444, 18.205782413386572], [-67.07769590324932, 18.205131769796434], [-67.08253747570764, 18.204948867424555], [-67.08737402020388, 18.205235423671326], [-67.19659329792438, 18.217038307683126], [-67.20181547611733, 18.217884142527488], [-67.20691905615085, 18.21927700020305], [-67.2118469053212, 18.221201288179774], [-67.21654385816706, 18.22363546476062], [-67.22095733402668, 18.226552280232923], [-67.22503792565904, 18.229919081918915], [-67.25905689641823, 18.261154860881117], [-67.26024477092378, 18.26235796781248], [-67.26155083255989, 18.26361110505872], [-67.2620129203789, 18.264148790711015], [-67.26249792069859, 18.264640010316807], [-67.26353672184926, 18.26592188697947], [-67.26468299949417, 18.267255696307192], [-67.26511839204242, 18.267873661972512], [-67.26558146633697, 18.26844509388792], [-67.26646707573752, 18.26978788907699], [-67.26745081772243, 18.27118414349762], [-67.26784814305961, 18.27188191670894], [-67.26827794743491, 18.27253360270846], [-67.26900838528489, 18.27391950622987], [-67.26982871978387, 18.27536015796824], [-67.2701764828543, 18.276135807773976], [-67.27056149188758, 18.276866308493513], [-67.27113684095063, 18.278277787858112], [-67.27179474003168, 18.279745164177804], [-67.27208149888398, 18.280595276953246], [-67.27241018962059, 18.281401639945468], [-67.27283250033486, 18.282821663070546], [-67.27333071753853, 18.284298656043518], [-67.27354526259666, 18.285218331827025], [-67.27380630281202, 18.28609608162088], [-67.27407947969823, 18.28750832412863], [-67.27442246385655, 18.288978571112164], [-67.28831057278146, 18.364821453330162], [-67.28835108474487, 18.36512757919161], [-67.28841963863574, 18.365438886503533], [-67.28871082063378, 18.36784589866074], [-67.2889602048209, 18.369730353095218]]]}
