FIPS,CBSA
42033,20180
19061,20220
27017,20260
27075,20260
27137,20260
55031,20260
48341,20300
40137,20340
08067,20420
40013,20460
37037,20500
37063,20500
37077,20500
37135,20500
37145,20500
47045,20540
48323,20580
24041,20660
42089,20700
55017,20740
55035,20740
08037,20780
17049,20820
48481,20900
06025,20940
05139,20980
37139,21020
37143,21020
21093,21060
21123,21060
21163,21060
40009,21120
18039,21140
54083,21180
32007,21220
32011,21220
53037,21260
36015,21300
48141,21340
48229,21340
20017,21380
20111,21380
40047,21420
01031,21460
42049,21500
26041,21540
35039,21580
01005,21640
13239,21640
41039,21660
06023,21700
56041,21740
18129,21780
18163,21780
18173,21780
21101,21780
02090,21820
19101,21840
27091,21860
54049,21900
32001,21980
27027,22020
38017,22020
27131,22060
29187,22100
35045,22140
37051,22180
37085,22180
37093,22180
05007,22220
05087,22220
05143,22220
27111,22260
32019,22280
39063,22300
13017,22340
04005,22380
26049,22420
45031,22500
45041,22500
01033,22520
01077,22520
55039,22540
37161,22580
05123,22620
08069,22660
19187,22700
29169,22780
17067,22800
19111,22800
29045,22800
08087,22820
01049,22840
22115,22860
05033,22900
05047,22900
05131,22900
40135,22900
18003,23060
18183,23060
18023,23140
21005,23180
21073,23180
48171,23240
17177,23300
31053,23340
39143,23380
06019,23420
01055,23460
45021,23500
12001,23540
12041,23540
12075,23540
13139,23580
48097,23620
17095,23660
35031,23700
20055,23780
20093,23780
32005,23820
45043,23860
42001,23900
56005,23940
56011,23940
56045,23940
21009,23980
21169,23980
36113,24020
36115,24020
08045,24060
08097,24060
36035,24100
37191,24140
48221,24180
27119,24220
38035,24220
31079,24260
31093,24260
31121,24260
08077,24300
27061,24330
26067,24340
26081,24340
26117,24340
26139,24340
35006,24380
41033,24420
20009,24460
30013,24500
08123,24540
55009,24580
55061,24580
55083,24580
47059,24620
37081,24660
37151,24660
37157,24660
18031,24700
28151,24740
37147,24780
39037,24820
45007,24860
45045,24860
45059,24860
45077,24860
28015,24900
28083,24900
45047,24940
28043,24980
72015,25020
72057,25020
72109,25020
28045,25060
28047,25060
28059,25060
28131,25060
40139,25100
24043,25180
54003,25180
54065,25180
16013,25200
16025,25200
22105,25220
06031,25260
29127,25300
29173,25300
42041,25420
42043,25420
42099,25420
05009,25460
05101,25460
51165,25500
51660,25500
09003,25540
09007,25540
09013,25540
31001,25580
28031,25620
28035,25620
28073,25620
28111,25620
20051,25700
49043,25720
49051,25720
30043,25740
30049,25740
05107,25760
37181,25780
48117,25820
41049,25840
41059,25840
37003,25860
37023,25860
37027,25860
37035,25860
26059,25880
15001,25900
45013,25940
45053,25940
13179,25980
13183,25980
35025,26020
26005,26090
12017,26140
41027,26220
05057,26260
05099,26260
05051,26300
26061,26340
26083,26340
22057,26380
22109,26380
48015,26420
48039,26420
48071,26420
48157,26420
48167,26420
48201,26420
48291,26420
48339,26420
48473,26420
36021,26460
42061,26500
18069,26540
21019,26580
21043,26580
21089,26580
39087,26580
54011,26580
54079,26580
54099,26580
01083,26620
01089,26620
48471,26660
46005,26700
46073,26700
20155,26740
27085,26780
16019,26820
16023,26820
16051,26820
42063,26860
18011,26900
18013,26900
18057,26900
18059,26900
18063,26900
18081,26900
18095,26900
18097,26900
18109,26900
18133,26900
18145,26900
28133,26940
19103,26980
19183,26980
26043,27020
55037,27020
36109,27060
26075,27100
28029,27140
28049,27140
28051,27140
28089,27140
28121,27140
28127,27140
28163,27140
39079,27160
47023,27180
47033,27180
47053,27180
47113,27180
16081,27220
56039,27220
12003,27260
12019,27260
12031,27260
12089,27260
12109,27260
17137,27300
17171,27300
37133,27340
48073,27380
38093,27420
36013,27460
55105,27500
01127,27530
18037,27540
18125,27540
72073,27580
13157,27600
29027,27620
29051,27620
29135,27620
29151,27620
22053,27660
13305,27700
47019,27740
47171,27740
47179,27740
42021,27780
05031,27860
05111,27860
29097,27900
29145,27900
02110,27940
15009,27980
26077,28020
30029,28060
17091,28100
20091,28140
20103,28140
20107,28140
20121,28140
20209,28140
29013,28140
29025,28140
29037,28140
29047,28140
29049,28140
29095,28140
29107,28140
29165,28140
29177,28140
15007,28180
31019,28260
31099,28260
33005,28300
18113,28340
29069,28380
53005,28420
53021,28420
48265,28500
02130,28540
12087,28580
37055,28620
48027,28660
48099,28660
48281,28660
47073,28700
47163,28700
51169,28700
51191,28700
51520,28700
36111,28740
48261,28780
48273,28780
37107,28820
29001,28860
29197,28860
41035,28900
47001,28940
47009,28940
47013,28940
47093,28940
47105,28940
47129,28940
47145,28940
47173,28940
18067,29020
33001,29060
27055,29100
55063,29100
22001,29180
22045,29180
22055,29180
22099,29180
22113,29180
18007,29200
18015,29200
18157,29200
18171,29200
41061,29260
01017,29300
13285,29300
22019,29340
22023,29340
12023,29380
04015,29420
12105,29460
48115,29500
42071,29540
26037,29620
26045,29620
26065,29620
26155,29620
56001,29660
48479,29700
35013,29740
35033,29780
35047,29780
32003,29820
28061,29860
28067,29860
37165,29900
20045,29940
47099,29980
40031,30020
40033,30020
29105,30060
33009,30100
33019,30100
50017,30100
50027,30100
42075,30140
48219,30220
42119,30260
47117,30280
16069,30300
53003,30300
23001,30340
42087,30380
31047,30420
31073,30420
21017,30460
21049,30460
21067,30460
21113,30460
21209,30460
21239,30460
20175,30580
39003,30620
17107,30660
31109,30700
31159,30700
05045,30780
05053,30780
05085,30780
05105,30780
05119,30780
05125,30780
42035,30820
16041,30860
49005,30860
18017,30900
21051,30940
21121,30940
21125,30940
21235,30940
48183,30980
48203,30980
48401,30980
48459,30980
53015,31020
35028,31060
06059,31080
06037,31080
18019,31140
18043,31140
18061,31140
18175,31140
21029,31140
21103,31140
21111,31140
21185,31140
21211,31140
21215,31140
48107,31180
48303,31180
48305,31180
26105,31220
48005,31260
37155,31300
51009,31340
51011,31340
51019,31340
51031,31340
51680,31340
17109,31380
13021,31420
13079,31420
13169,31420
13207,31420
13289,31420
06039,31460
18077,31500
55021,31540
55025,31540
55045,31540
55049,31540
21107,31580
05027,31620
36033,31660
05059,31680
33011,31700
20061,31740
20149,31740
20161,31740
55071,31820
27013,31860
27103,31860
39139,31900
39167,31930
26109,31940
55075,31940
18053,31980
37111,32000
39101,32020
26103,32100
27083,32140
29195,32180
19127,32260
47183,32280
51089,32300
51690,32300
29147,32340
19033,32380
19195,32380
72067,32420
72083,32420
72097,32420
21083,32460
21161,32500
40121,32540
48215,32580
28113,32620
47177,32660
20113,32700
42039,32740
41029,32780
05035,32820
28033,32820
28093,32820
28137,32820
28143,32820
47047,32820
47157,32820
47167,32820
55033,32860
06047,32900
28023,32940
28069,32940
28075,32940
29007,33020
40115,33060
12011,33100
12086,33100
12099,33100
18091,33140
21013,33180
26111,33220
48317,33260
48329,33260
13009,33300
13141,33300
55079,33340
55089,33340
55131,33340
55133,33340
22119,33380
48363,33420
27003,33460
27019,33460
27025,33460
27037,33460
27053,33460
27059,33460
27079,33460
27095,33460
27123,33460
27139,33460
27141,33460
27163,33460
27171,33460
55093,33460
55109,33460
38049,33500
38075,33500
38101,33500
30063,33540
46035,33580
46061,33580
29175,33620
01097,33660
01129,33660
06099,33700
22067,33740
22073,33740
22111,33740
26115,33780
01001,33860
01051,33860
01085,33860
01101,33860
08085,33940
08091,33940
37031,33980
22101,34020
54061,34060
54077,34060
47057,34100
47063,34100
47089,34100
16057,34140
53025,34180
13071,34220
05005,34260
16039,34300
37171,34340
54045,34350
26073,34380
48063,34420
48449,34420
21011,34460
21165,34460
21173,34460
17081,34500
39083,34540
53057,34580
18035,34620
21035,34660
19139,34700
26121,34740
40101,34780
37019,34820
45051,34820
48347,34860
06055,34900
12021,34940
47015,34980
47021,34980
47037,34980
47043,34980
47111,34980
47119,34980
47147,34980
47149,34980
47159,34980
47165,34980
47169,34980
47187,34980
47189,34980
22029,35020
28001,35020
22069,35060
37049,35100
37103,35100
37137,35100
45071,35140
18065,35220
42073,35260
09009,35300
22051,35380
22071,35380
22075,35380
22087,35380
22089,35380
22093,35380
22095,35380
22103,35380
39157,35420
41041,35440
47029,35460
27015,35580
36059,35620
36103,35620
34013,35620
34019,35620
34027,35620
34037,35620
34039,35620
42103,35620
34023,35620
34025,35620
34029,35620
34035,35620
34003,35620
34017,35620
34031,35620
36005,35620
36047,35620
36061,35620
36079,35620
36081,35620
36085,35620
36087,35620
36119,35620
26021,35660
04023,35700
31119,35740
31139,35740
31167,35740
31111,35820
31113,35820
31117,35820
12081,35840
12115,35840
18079,35860
37193,35900
39077,35940
09011,35980
53029,36020
12083,36100
34009,36140
48135,36220
49003,36260
49011,36260
49029,36260
49057,36260
36089,36300
42121,36340
12093,36380
40017,36420
40027,36420
40051,36420
40081,36420
40083,36420
40087,36420
40109,36420
36009,36460
53067,36500
19085,36540
19129,36540
19155,36540
31025,36540
31055,36540
31153,36540
31155,36540
31177,36540
36077,36580
16075,36620
41045,36620
22097,36660
45075,36700
12069,36740
12095,36740
12097,36740
12117,36740
55139,36780
19123,36820
53001,36830
17011,36837
17099,36837
17155,36837
20059,36840
19179,36900
27147,36940
21059,36980
21091,36980
21149,36980
28071,37060
